cust_id,kabupaten,provinces_name,is_bad_cust,first_bu,second_bu,first_lob,second_lob,first_asset_price,second_asset_price,first_asset_year,second_asset_year,first_go_live_date,second_go_live_date,cust_gender,cust_job,cust_age
custid_22525, LHOKSEUMAWE,ACEH,0,BU_C,BU_B,NMC,UCF,25000000,95000000,2019,2014,2019-01-11 17:00:00,2019-09-23 17:00:00,MALE,PEG SWASTA,36
custid_22526, CIMAHI,JAWA BARAT,0,BU_C,BU_B,NMC,NCF,18000000,162000000,2020,2020,2020-01-23 17:00:00,2020-03-31 17:00:00,MALE,PENGUSAHA,43
custid_22527, BANDUNG BARAT,JAWA BARAT,0,BU_B,BU_B,UCF,UCF,439000000,157000000,2013,2010,2019-02-17 17:00:00,2019-05-15 17:00:00,FEMALE,PENGUSAHA,38
custid_22528, SEMARANG,JAWA TENGAH,0,BU_C,BU_B,NMC,NCF,30000000,170000000,2019,2021,2019-10-28 17:00:00,2021-04-05 17:00:00,MALE,PENGUSAHA,25
custid_22529, PASURUAN,JAWA TIMUR,1,BU_C,BU_A,NMC,NCF,18000000,217000000,2018,2019,2018-12-20 17:00:00,2019-12-26 17:00:00,MALE,OTHERS,22
custid_22530, MALANG,JAWA TIMUR,0,BU_C,BU_B,NMC,UCF,29000000,105000000,2018,2012,2018-05-14 17:00:00,2020-01-19 17:00:00,MALE,PNS,27
custid_22531, BANYUWANGI,JAWA TIMUR,0,BU_C,BU_A,NMC,NCF,24000000,254000000,2018,2019,2018-09-28 17:00:00,2019-08-25 17:00:00,MALE,PENGUSAHA,22
custid_22532, SEMARANG,JAWA TENGAH,0,BU_C,BU_B,NMC,UCF,20000000,105000000,2019,2018,2020-01-05 17:00:00,2020-07-27 17:00:00,MALE,OTHERS,26
custid_22533, SEMARANG,JAWA TENGAH,0,BU_C,BU_B,NMC,UCF,18000000,125000000,2018,2010,2018-11-28 17:00:00,2018-11-29 17:00:00,MALE,PEG SWASTA,22
custid_22534, JAKARTA PUSAT,DKI JAKARTA,1,BU_C,BU_B,NMC,UCF,17000000,162000000,2018,2013,2018-07-18 17:00:00,2018-09-28 17:00:00,FEMALE,PEG SWASTA,49
custid_22535, DENPASAR,BALI,1,BU_C,BU_B,NMC,NCF,34000000,169000000,2019,2019,2019-05-15 17:00:00,2020-01-12 17:00:00,FEMALE,PEG SWASTA,31
custid_22536, PATI,JAWA TENGAH,0,BU_C,BU_B,NMC,NCF,21000000,144000000,2019,2019,2019-03-14 17:00:00,2019-10-31 17:00:00,MALE,PENGUSAHA,37
custid_22537, JAKARTA SELATAN,DKI JAKARTA,0,BU_C,BU_B,NMC,UCF,17000000,79000000,2018,2005,2018-05-20 17:00:00,2019-01-14 17:00:00,FEMALE,PEG SWASTA,21
custid_22538, BOGOR,JAWA BARAT,0,BU_C,BU_A,NMC,NCF,18000000,164000000,2019,2021,2019-07-30 17:00:00,2021-12-08 17:00:00,MALE,PEG SWASTA,27
custid_22539, JAKARTA SELATAN,DKI JAKARTA,0,BU_C,BU_B,NMC,UCF,21000000,130000000,2019,2012,2019-05-31 17:00:00,2020-07-23 17:00:00,FEMALE,PEG SWASTA,35
